acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
303912,,Slight,1,1,01/06/2012,Friday,1,June,12,13,0,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",A,900,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326940,675830,522318,Junction,Pedestrian,354935,unset,EH68LS,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.9699,-3.1721"
304412,,Slight,2,1,01/06/2012,Friday,1,June,12,16,52,230,Motorway,8,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",317840,670750,6452850,Segment,T.V.N.P.,354936,unset,EH129BU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92279,-3.31631"
304512,,Serious,2,1,02/06/2012,Saturday,2,June,12,0,1,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",C,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",323680,672450,533383,Junction,T.V.N.P.,354937,unset,EH111EF,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.93903,-3.22336"
305512,,Fatal,1,1,03/06/2012,Sunday,3,June,12,0,10,230,A,7,"Single carriageway - 2 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",330020,669440,568027,Segment,Pedestrian,354938,unset,EH164SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91295,-3.1211"
306012,,Slight,7,1,02/06/2012,Saturday,2,June,12,13,30,230,A,90,"Single carriageway - 2 lanes",40,"Multiple junction","Automatic Traffic Signal",A,902,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",321540,674910,520032,Junction,M.V.N.P.,354939,unset,EH43RE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.96078,-3.25833"
308812,,Serious,1,2,04/06/2012,Monday,4,June,12,8,25,230,C,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327920,669850,518545,Junction,Pedestrian,354940,unset,EH166BW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91632,-3.15481"
309512,,Slight,2,1,04/06/2012,Monday,4,June,12,6,30,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",322480,672340,559251,Segment,T.V.N.P.,354941,unset,EH112SJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.93784,-3.24254"
310512,,Slight,1,1,05/06/2012,Tuesday,5,June,12,12,45,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327640,674300,520752,Junction,Pedestrian,354942,unset,EH76AE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95626,-3.16048"
310612,,Slight,2,1,05/06/2012,Tuesday,5,June,12,13,0,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",322230,673350,565634,Segment,Cyclist,354943,unset,EH126HZ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94688,-3.24683"
311312,,Serious,2,1,01/06/2012,Friday,1,June,12,8,45,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,"Other object in carriageway","No overtaking",324220,673710,10258599,Junction,Cyclist,354944,unset,EH37HR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95043,-3.21507"
