acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
69912,,Slight,2,1,03/02/2012,Friday,3,February,12,12,30,230,A,70,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",318940,668120,561628,Segment,T.V.N.P.,356791,unset,EH145JY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89935,-3.29792"
70112,,Slight,2,1,02/02/2012,Thursday,2,February,12,18,30,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",326170,673290,0,Unset,Cyclist,356792,unset,EH89SX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94696,-3.18374"
70712,,Slight,1,1,03/02/2012,Friday,3,February,12,12,20,230,A,70,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",A,70,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",323450,672240,521991,Junction,Bus,356793,unset,EH111NX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,"55.9371,-3.22698"
70812,,Slight,2,1,03/02/2012,Friday,3,February,12,20,0,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit",Other,Dry,"Road works present",None,"No overtaking",322740,672740,559290,Segment,T.V.N.P.,356794,unset,EH125NB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94148,-3.23849"
72212,,Serious,2,2,04/02/2012,Saturday,4,February,12,4,30,230,A,71,"Dual carriageway - 2 lanes",40,Roundabout,"Give way sign or markings",C,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",320680,671100,529513,Junction,T.V.N.P.,356795,unset,EH113RQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92641,-3.27097"
72312,,Slight,1,1,04/02/2012,Saturday,4,February,12,17,20,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",322360,671100,523488,Junction,Pedestrian,356796,unset,EH141QA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.92669,-3.2441"
72512,,Slight,2,1,03/02/2012,Friday,3,February,12,16,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328700,671480,0,Unset,Cyclist,356797,unset,EH164BT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.93108,-3.14276"
72712,,Slight,1,1,04/02/2012,Saturday,4,February,12,14,41,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",B,701,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",327750,668200,530296,Junction,Pedestrian,356798,unset,EH178HW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.90147,-3.15708"
74112,,Slight,2,1,05/02/2012,Sunday,5,February,12,3,0,230,B,1350,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",C,,"Darkness: street lights present and lit",Other,Dry,None,None,"No overtaking",326930,674470,520680,Junction,Pedestrian,356799,unset,EH75AP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95768,-3.17189"
74912,,Serious,1,1,06/02/2012,Monday,6,February,12,8,50,230,A,772,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",A,772,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",329230,668690,530257,Junction,Pedestrian,356800,unset,EH178QQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.90609,-3.13355"
75312,,Slight,3,3,06/02/2012,Monday,6,February,12,7,55,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",322520,668040,570540,Segment,M.V.N.P.,356801,unset,EH139QP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89922,-3.24066"
75612,,Slight,2,1,06/02/2012,Monday,6,February,12,8,40,230,A,900,Roundabout,30,Roundabout,"Give way sign or markings",C,,"Daylight: no street lighting",Other,Dry,None,None,"No overtaking",325990,674350,520620,Junction,T.V.N.P.,356802,unset,EH13JT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95646,-3.18692"
75712,,Slight,2,1,29/01/2012,Sunday,29,January,12,20,30,230,C,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit",Unknown,Dry,None,None,"No overtaking",320840,670990,530461,Junction,Cyclist,354433,unset,EH142AJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.92545,-3.26838"
76412,,Serious,2,1,31/01/2012,Tuesday,31,January,12,9,5,230,A,900,"Dual carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326910,675820,519493,Junction,Cyclist,354434,unset,EH65AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.9698,-3.17258"
77212,,Slight,2,1,06/02/2012,Monday,6,February,12,17,20,230,A,8,"Dual carriageway - 2 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit",Other,Dry,None,None,"No overtaking",317050,672490,550815,Segment,T.V.N.P.,356803,unset,EH129BQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.93829,-3.32948"
77712,,Serious,1,1,06/02/2012,Monday,6,February,12,14,30,230,A,901,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326920,675940,558734,Segment,Pedestrian,356804,unset,EH65HX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97088,-3.17245"
77912,,Serious,2,1,07/02/2012,Tuesday,7,February,12,9,0,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326090,672930,532711,Junction,Cyclist,356805,unset,EH89JR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,"55.94371,-3.18492"
78112,,Slight,2,1,03/02/2012,Friday,3,February,12,18,15,230,A,8,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",319770,672970,521700,Junction,T.V.N.P.,356806,unset,EH128AY,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.94306,-3.28609"
79012,,Slight,1,1,07/02/2012,Tuesday,7,February,12,11,6,230,Unclassified,,"Single carriageway - 2 lanes",20,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",323300,669090,12227042,Junction,S.V.N.P.,356807,unset,EH139BQ,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.90878,-3.22849"
79112,,Slight,1,1,07/02/2012,Tuesday,7,February,12,13,40,230,A,1,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",329020,673390,2106163,Segment,Bus,356808,unset,EH87QQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.94829,-3.13814"
79812,,Slight,2,5,06/02/2012,Monday,6,February,12,22,5,230,A,8,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",320980,672860,550713,Segment,T.V.N.P.,356809,unset,EH127AY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.94227,-3.26669"
79912,,Fatal,1,1,07/02/2012,Tuesday,7,February,12,18,20,230,C,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",319900,672680,521682,Junction,Pedestrian,356810,unset,EH127SX,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.94048,-3.28392"
81512,,Serious,2,1,08/02/2012,Wednesday,8,February,12,8,55,230,A,7,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326330,672610,532690,Junction,Cyclist,356811,unset,EH89PR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.94088,-3.181"
81912,,Serious,1,1,08/02/2012,Wednesday,8,February,12,17,0,230,A,702,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324920,672640,533323,Junction,Pedestrian,356812,unset,EH39LH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.94093,-3.20356"
82012,,Slight,1,1,08/02/2012,Wednesday,8,February,12,17,59,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",319820,672160,0,Unset,Bus,356813,unset,EH127PB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.93579,-3.28505"
82512,,Slight,1,1,06/02/2012,Monday,6,February,12,14,45,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",328700,669400,12246488,Junction,Pedestrian,356814,unset,EH177LQ,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.91239,-3.14221"
82612,,Slight,2,1,09/02/2012,Thursday,9,February,12,2,45,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",327520,675780,2106439,Segment,T.V.N.P.,356815,unset,EH67ES,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96954,-3.1628"
84512,,Slight,2,1,09/02/2012,Thursday,9,February,12,12,0,230,C,,"Single carriageway - 2 lanes",30,"Other junction","Automatic Traffic Signal",C,,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",325320,674040,520512,Junction,Bus,356816,unset,EH22HN,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Central refuge - no other controls","At scene","55.95357,-3.19755"
85312,,Slight,1,1,08/02/2012,Wednesday,8,February,12,17,45,230,B,701,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",319620,669940,12201412,Junction,Pedestrian,356817,unset,EH142SW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.91581,-3.28759"
89612,,Serious,1,1,30/01/2012,Monday,30,January,12,13,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328450,675460,0,Unset,Pedestrian,354435,unset,EH67LG,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.9668,-3.14781"
91412,,Slight,2,1,13/02/2012,Monday,13,February,12,20,50,230,A,90,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324170,674220,555594,Segment,T.V.N.P.,356818,unset,EH41PU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.955,-3.21601"
91612,,Serious,1,1,13/02/2012,Monday,13,February,12,17,0,230,Unclassified,,"Single carriageway - 2 lanes",20,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326970,676370,12238575,Junction,Pedestrian,356819,unset,EH66ED,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.97474,-3.17177"
92012,,Slight,1,1,07/02/2012,Tuesday,7,February,12,18,30,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",326980,674880,2106481,Segment,Bus,356820,unset,EH75QA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96137,-3.1712"
92312,,Slight,4,1,12/02/2012,Sunday,12,February,12,8,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328730,674460,0,Unset,M.V.N.P.,356821,unset,EH76PE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95786,-3.14307"
93812,,Slight,1,1,14/02/2012,Tuesday,14,February,12,14,32,230,A,701,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327390,668040,570793,Segment,Pedestrian,356822,unset,EH178AF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.89998,-3.1628"
94612,,Slight,2,1,14/02/2012,Tuesday,14,February,12,17,20,230,A,1,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",329490,672780,523713,Junction,Bus,356823,unset,EH151RD,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94288,-3.13045"
95212,,Slight,1,1,15/02/2012,Wednesday,15,February,12,11,20,230,Unclassified,,"One way Street",30,"Other junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325090,673210,521478,Junction,Pedestrian,356824,unset,EH39DN,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94607,-3.201"
95512,,Slight,1,1,14/02/2012,Tuesday,14,February,12,17,5,230,Unclassified,,"One way Street",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326040,673200,569709,Segment,Bus,356825,unset,EH89BH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94613,-3.1858"
95712,,Serious,1,1,15/02/2012,Wednesday,15,February,12,11,15,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",320740,675450,519759,Junction,Pedestrian,356826,unset,EH45AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.96549,-3.2713"
96912,,Slight,1,1,14/02/2012,Tuesday,14,February,12,17,47,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",C,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325290,673290,521484,Junction,Pedestrian,356827,unset,EH12HU,"Control by other authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.94682,-3.19782"
97112,,Serious,1,1,14/02/2012,Tuesday,14,February,12,21,40,230,A,6095,"Single carriageway - 2 lanes",30,Roundabout,"Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",331030,671630,530053,Junction,S.V.N.P.,356828,unset,EH153HW,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.93277,-3.10552"
97312,,Slight,1,1,28/01/2012,Saturday,28,January,12,0,10,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325000,673010,567099,Segment,Pedestrian,354436,unset,EH39JG,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94426,-3.20239"
97912,,Slight,2,1,16/02/2012,Thursday,16,February,12,9,15,230,A,720,"Dual carriageway - 2 lanes",70,"Slip road","Stop sign",A,720,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",320220,669100,2578901,Junction,T.V.N.P.,356829,unset,EH143BR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.90837,-3.27774"
98512,,Slight,2,1,16/02/2012,Thursday,16,February,12,17,5,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328800,671670,523773,Junction,T.V.N.P.,356830,unset,EH164BE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.9328,-3.14121"
98812,,Slight,1,2,15/02/2012,Wednesday,15,February,12,3,55,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",A,1140,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",329030,674250,523440,Junction,S.V.N.P.,356831,unset,EH76PX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95602,-3.13821"
98912,,Slight,2,1,17/02/2012,Friday,17,February,12,2,15,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",322770,668050,570552,Segment,T.V.N.P.,356832,unset,EH139QP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89935,-3.23667"
99112,,Slight,2,1,09/02/2012,Thursday,9,February,12,16,4,230,Unclassified,,"Single carriageway - 2 lanes",40,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",315970,666940,517921,Junction,T.V.N.P.,356833,unset,EH147BP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.88824,-3.34503"
99412,,Slight,2,2,31/01/2012,Tuesday,31,January,12,21,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",326310,672300,563158,Segment,T.V.N.P.,354437,unset,EH91PY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.93809,-3.18123"
100112,,Slight,1,1,15/02/2012,Wednesday,15,February,12,6,40,230,A,902,Roundabout,40,Roundabout,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",318050,673740,520767,Junction,S.V.N.P.,356834,unset,EH120AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94969,-3.31386"
100712,,Slight,2,1,17/02/2012,Friday,17,February,12,19,20,230,C,,Roundabout,60,Roundabout,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Raining with high winds",Dry,None,None,"No overtaking",329160,667360,4486297,Junction,T.V.N.P.,356835,unset,EH178RZ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89413,-3.13432"
103212,,Slight,2,1,19/02/2012,Sunday,19,February,12,3,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324910,674000,0,Unset,T.V.N.P.,356836,unset,EH23LU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95314,-3.2041"
104312,,Slight,3,2,19/02/2012,Sunday,19,February,12,18,29,230,A,71,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",322290,671860,522219,Junction,M.V.N.P.,356837,unset,EH112RT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.9335,-3.24544"
106212,,Slight,1,1,20/02/2012,Monday,20,February,12,15,0,230,A,1140,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328490,674160,554882,Segment,Pedestrian,356838,unset,EH87BB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95513,-3.14683"
106412,,Slight,2,1,20/02/2012,Monday,20,February,12,19,10,230,A,902,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",321670,674900,563682,Segment,T.V.N.P.,356839,unset,EH42AY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96071,-3.25624"
107512,,Slight,4,4,19/02/2012,Sunday,19,February,12,12,15,230,A,901,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",A,900,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326960,675900,522483,Junction,M.V.N.P.,356840,unset,EH68LN,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.97053,-3.1718"
108512,,Slight,1,1,21/02/2012,Tuesday,21,February,12,17,25,230,Unclassified,,"Single carriageway - 2 lanes",30,Roundabout,"Give way sign or markings",C,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",321830,676470,519136,Junction,Bus,356841,unset,EH45JH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97483,-3.25414"
108612,,Serious,2,1,21/02/2012,Tuesday,21,February,12,19,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",329680,669400,2105858,Segment,Cyclist,356842,unset,EH177DB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91254,-3.12653"
110712,,Slight,2,1,22/02/2012,Wednesday,22,February,12,9,15,230,A,71,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",322690,672200,521970,Junction,Cyclist,338144,unset,EH112QU,"Control by other authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.93662,-3.23913"
111412,,Serious,1,1,22/02/2012,Wednesday,22,February,12,18,15,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",324560,672900,559457,Segment,Pedestrian,356843,unset,EH39RL,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94321,-3.2094"
111712,,Slight,1,1,23/02/2012,Thursday,23,February,12,2,45,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326720,673560,0,Unset,Pedestrian,356844,unset,EH87AT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94947,-3.17501"
112412,,Slight,1,1,23/02/2012,Thursday,23,February,12,13,20,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324180,673380,565862,Segment,Pedestrian,356845,unset,EH125AF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94746,-3.21562"
112612,,Slight,2,1,21/02/2012,Tuesday,21,February,12,17,5,230,B,701,Roundabout,30,Roundabout,"Give way sign or markings",A,8,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",319320,672940,522894,Junction,Cyclist,356846,unset,EH128SQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94272,-3.29328"
112712,,Slight,1,1,16/02/2012,Thursday,16,February,12,12,37,230,A,900,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326810,675600,519481,Junction,Pedestrian,356847,unset,EH68NR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96781,-3.17412"
112812,,Slight,2,1,23/02/2012,Thursday,23,February,12,17,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",C,,"Darkness: street lights present and lit","Fine with high winds",Dry,None,None,"No overtaking",324500,671670,523830,Junction,Cyclist,356848,unset,EH104DR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.93215,-3.21002"
113512,,Slight,1,1,23/02/2012,Thursday,23,February,12,15,35,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328980,673980,558023,Segment,Pedestrian,356849,unset,EH87RY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.95358,-3.13894"
113612,,Slight,1,1,23/02/2012,Thursday,23,February,12,16,20,230,C,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325780,674340,520593,Junction,Pedestrian,356850,unset,EH13HU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.95633,-3.19028"
